subject;name;content;created_date
Методы оптимизации;Условная и безусловная оптимизация;"Основная задача математического программирования формулируется как поиск экстремума целевой функции. Если на переменные не наложено никаких ограничений, такая задача называется задачей безусловной оптимизации. Для ее решения применяются классические методы, основанные на использовании частных производных (например, градиентный спуск или метод Ньютона), так как необходимым условием экстремума является равенство нулю градиента функции.

Если же на переменные наложены ограничения (в виде равенств и/или неравенств), то мы имеем дело с задачей условной оптимизации. Для решения таких задач применяются методы Лагранжа, Куна-Таккера, а также симплекс-метод для линейного программирования. Особое место занимают эвристические методы, такие как генетические алгоритмы и метод роя частиц, которые используются для сложных невыпуклых задач.

**Ключевые понятия**:
- Целевая функция
- Ограничения
- Глобальный и локальный экстремум
- Градиент
- Метод множителей Лагранжа
- Выпуклость...";13.11.2025
Методы оптимизации;Линейное программирование;"Линейное программирование - раздел математического программирования, изучающий методы решения экстремальных задач с линейной целевой функцией и линейными ограничениями.

## Основные формы задач ЛП:
1. **Каноническая форма**: максимизация или минимизация линейной функции при линейных ограничениях-равенствах
2. **Стандартная форма**: максимизация линейной функции при линейных ограничениях-неравенствах типа 'меньше или равно'

## Симплекс-метод
Наиболее известный алгоритм решения задач линейного программирования. Алгоритм перемещается по вершинам многогранника допустимых решений, улучшая значение целевой функции на каждом шаге.

**Применение**:
- Оптимизация производственных процессов
- Транспортная задача
- Задача о назначениях
- Управление портфелем ценных бумаг...";15.11.2025
Методы оптимизации;Генетические алгоритмы;"Генетические алгоритмы - это эвристические методы оптимизации, основанные на принципах естественного отбора и генетики.

## Основные операторы:
1. **Селекция** - отбор наиболее приспособленных особей
2. **Кроссовер** - скрещивание родительских особей
3. **Мутация** - случайные изменения в генах

Генетические алгоритмы особенно эффективны для решения сложных задач, где:
- Функция имеет много локальных оптимумов
- Пространство поиска велико
- Традиционные методы не работают

**Примеры применения**:
- Оптимизация расписаний
- Обучение нейронных сетей
- Конфигурация сложных систем

Алгоритм продолжает работать до достижения критерия остановки (максимальное число поколений, стагнация и т.д.)....";20.11.2025
Технологии эффективной коммуникации;Максимы Грайса;"# Максимы Грайса

Американский философ Герберт Пол Грайс сформулировал **принцип кооперации**, согласно которому успешная коммуникация требует от участников не только знаний языка, но и следования неписаным конвенциональным правилам.

Этот принцип предписывает знать свой вклад в разговор таким, какой требуется принятой целью и направлением диалога.

Из данного принципа выводится 4 максимы:

1. **Максима количества**: дай столько информации, сколько требуется, но не больше
2. **Максима качества**: говори только то, что считаешь истинным, и не говори того, для чего у тебя нет достаточных оснований
3. **Максима релевантности**: говори по существу дела
4. **Максима способа выражения**: избегай неясности и двусмысленности, будь краток и организован

**Нарушение максим** часто используется для создания импликатур - скрытых смыслов в коммуникации....";04.12.2025
Технологии эффективной коммуникации;Активное слушание;"Активное слушание - это техника коммуникации, при которой слушатель полностью концентрируется на говорящем, понимает, запоминает и оценивает сказанное.

## Техники активного слушания:

### 1. Подтверждение понимания
- Повторение ключевых фраз
- Парафраз (перефразирование)
- Резюмирование

### 2. Нерефлексивное слушание
- Минимальные ответы ('да-да', 'понимаю')
- Невербальные сигналы (кивание, зрительный контакт)

### 3. Вопросы
- Открытые вопросы
- Уточняющие вопросы
- Гипотетические вопросы

### 4. Эмпатические реакции
- Отражение чувств
- Поддержка

**Преимущества активного слушания**:
- Улучшение взаимопонимания
- Снижение конфликтов
- Повышение доверия
- Более эффективное решение проблем...";05.12.2025
Технологии эффективной коммуникации;Нейролингвистическое программирование (НЛП);"НЛП - это подход к коммуникации, личностному развитию и психотерапии, созданный в 1970-х годах.

## Основные пресуппозиции НЛП:
1. Карта не есть территория - наше восприятие реальности субъективно
2. Смысл коммуникации в реакции, которую она вызывает
3. Все поведение имеет позитивное намерение
4. Не бывает поражений, есть только обратная связь
5. Если что-то может сделать один человек, этому может научиться другой

## Техники НЛП в коммуникации:
- **Подстройка и ведение**: отражение позы, темпа речи, дыхания собеседника
- **Репрезентативные системы**: визуальная, аудиальная, кинестетическая
- **Мета-модель**: вопросы для уточнения обобщений, искажений и опущений
- **Милтон-модель**: использование гипнотических речевых паттернов

НЛП широко используется в бизнес-тренингах, коучинге и психотерапии....";06.12.2025
Базы данных;Реляционные базы данных;"# Реляционные базы данных

Реляционные базы данных основаны на реляционной модели данных, предложенной Эдгаром Коддом в 1970 году.

## Основные понятия:
- **Таблица (отношение)**: структура для хранения данных
- **Строка (кортеж)**: одна запись в таблице
- **Столбец (атрибут)**: поле с определенным типом данных
- **Первичный ключ**: уникальный идентификатор строки
- **Внешний ключ**: ссылка на первичный ключ другой таблицы

## Нормальные формы (НФ):
1. **1НФ**: все значения атомарны
2. **2НФ**: находится в 1НФ + нет частичных зависимостей
3. **3НФ**: находится в 2НФ + нет транзитивных зависимостей
4. **НФ Бойса-Кодда**: усиленная 3НФ
5. **4НФ**: нет многозначных зависимостей
6. **5НФ**: нет зависимостей соединения

**SQL** - основной язык для работы с реляционными БД. Основные операторы: SELECT, INSERT, UPDATE, DELETE....";10.11.2025
Базы данных;Транзакции и ACID;"Транзакция - это последовательность операций с базой данных, которая рассматривается как единое целое.

## Свойства ACID:

### 1. Атомарность (Atomicity)
Транзакция выполняется полностью или не выполняется вовсе.

### 2. Согласованность (Consistency)
Транзакция переводит базу данных из одного согласованного состояния в другое.

### 3. Изоляция (Isolation)
Параллельные транзакции не должны влиять друг на друга.

### 4. Долговечность (Durability)
Результаты выполненной транзакции сохраняются навсегда, даже в случае сбоев.

## Уровни изоляции (от самого слабого к самому сильному):
1. **READ UNCOMMITTED** - 'грязное чтение'
2. **READ COMMITTED** - предотвращает грязное чтение
3. **REPEATABLE READ** - предотвращает неповторяющееся чтение
4. **SERIALIZABLE** - полная изоляция

**Блокировки** и **MVCC** (Multi-Version Concurrency Control) - основные механизмы реализации изоляции....";12.11.2025
Базы данных;NoSQL базы данных;"NoSQL (Not Only SQL) - класс систем управления базами данных, которые не используют реляционную модель.

## Типы NoSQL баз данных:

### 1. Документоориентированные (MongoDB, CouchDB)
- Хранят данные в формате документов (JSON, BSON, XML)
- Гибкая схема
- Быстрые операции чтения/записи

### 2. Ключ-значение (Redis, DynamoDB)
- Простая модель данных
- Высокая производительность
- Используются для кэширования

### 3. Колоночные (Cassandra, HBase)
- Оптимизированы для аналитических запросов
- Эффективное сжатие данных
- Хорошо масштабируются

### 4. Графовые (Neo4j, Amazon Neptune)
- Оптимизированы для работы со связями
- Используются для социальных сетей, рекомендательных систем

**Преимущества NoSQL**:
- Горизонтальное масштабирование
- Гибкость схемы данных
- Высокая производительность для определенных паттернов доступа...";15.11.2025
Fullstack разработка;Архитектура MVC;"MVC (Model-View-Controller) - архитектурный паттерн, разделяющий приложение на три компонента:

## Компоненты MVC:

### 1. Модель (Model)
- Представляет бизнес-логику и данные
- Не зависит от представления и контроллера
- Уведомляет представление об изменениях

### 2. Представление (View)
- Отображает данные модели пользователю
- Получает данные от модели
- Не содержит бизнес-логики

### 3. Контроллер (Controller)
- Обрабатывает пользовательский ввод
- Обновляет модель
- Выбирает представление для отображения

## Преимущества MVC:
- Разделение ответственности
- Повторное использование кода
- Легкость тестирования
- Поддержка нескольких представлений для одной модели

**Примеры фреймворков**:
- **Backend**: Django (Python), Spring MVC (Java), Ruby on Rails
- **Frontend**: Angular, React + Redux (паттерн Flux), Vue.js

MVC особенно популярен в веб-разработке, где четко разделены клиентская и серверная части....";18.11.2025
